Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-05-03,17.82,18.83,17.190001,18.34,18.34,0,162
2023-05-04,19.17,21.33,18.67,20.09,20.09,0,163
2023-05-05,19.5,19.629999,16.690001,17.190001,17.190001,0,164
2023-05-08,17.73,17.879999,16.83,16.98,16.98,0,165
2023-05-09,17.290001,17.860001,17.219999,17.709999,17.709999,0,166
2023-05-10,17.58,18.309999,16.360001,16.940001,16.940001,0,167
2023-05-11,16.799999,18.190001,16.629999,16.93,16.93,0,168
2023-05-12,16.83,17.92,16.379999,17.030001,17.030001,0,169
2023-05-15,17.440001,18.16,17.08,17.120001,17.120001,0,170
2023-05-16,17.540001,18.299999,17.26,17.99,17.99,0,171
2023-05-17,17.959999,18.26,16.68,16.870001,16.870001,0,172
2023-05-18,16.92,17.15,16.049999,16.049999,16.049999,0,173
2023-05-19,16.129999,17.360001,15.85,16.809999,16.809999,0,174
2023-05-22,17.450001,18.129999,16.82,17.209999,17.209999,0,175
2023-05-23,17.35,19.309999,17.299999,18.530001,18.530001,0,176
2023-05-24,18.799999,20.809999,18.799999,20.030001,20.030001,0,177
2023-05-25,19.540001,19.950001,18.700001,19.139999,19.139999,0,178
2023-05-26,19.07,19.559999,17.27,17.950001,17.950001,0,179
2023-05-29,null,null,null,null,null,null,180
2023-05-30,17.559999,18.34,16.98,17.459999,17.459999,0,181
2023-05-31,18.040001,18.4,17.120001,17.940001,17.940001,0,182
2023-06-01,17.24,17.59,15.58,15.65,15.65,0,183
2023-06-02,15.65,15.65,14.42,14.6,14.6,0,184
2023-06-05,15.28,15.29,14.66,14.73,14.73,0,185
2023-06-06,14.91,14.97,13.95,13.96,13.96,0,186
2023-06-07,14.14,14.29,13.77,13.94,13.94,0,187
2023-06-08,14.14,14.21,13.53,13.65,13.65,0,188
2023-06-09,13.78,14.14,13.5,13.83,13.83,0,189
2023-06-12,14.44,15.02,14.32,15.01,15.01,0,190
2023-06-13,14.99,15.06,14.47,14.61,14.61,0,191
2023-06-14,14.48,14.73,13.83,13.88,13.88,0,192
2023-06-15,14.09,14.52,13.79,14.5,14.5,0,193
2023-06-16,14.49,14.54,13.48,13.54,13.54,0,194
2023-06-19,null,null,null,null,null,null,195
2023-06-20,14.36,14.67,13.86,13.88,13.88,0,196
2023-06-21,13.88,13.89,13.1,13.2,13.2,0,197
2023-06-22,13.88,13.98,12.73,12.91,12.91,0,198
2023-06-23,13.24,13.8,12.88,13.44,13.44,0,199
2023-06-26,14.43,14.71,13.78,14.25,14.25,0,200
