Date,Open,High,Low,Close,Adj_Close,Volume,Day
2017-04-04,6.441667,6.470833,6.36,6.391667,6.228386,254400,889
2017-04-05,6.460833,6.514167,6.348333,6.348333,6.18616,27600,890
2017-04-06,6.320833,6.334167,6.260833,6.325,6.163422,21600,891
2017-04-07,6.316667,6.435,6.316667,6.375,6.212146,28800,892
2017-04-10,6.375,6.391667,6.25,6.2975,6.136625,76800,893
2017-04-11,6.253333,6.253333,6.075,6.1875,6.029435,151200,894
2017-04-12,6.204167,6.204167,5.965833,6.005,5.851598,180000,895
2017-04-13,5.980833,6.081667,5.958333,6.081667,5.926306,32400,896
2017-04-17,6.003333,6.0325,5.883333,6.0325,5.878394,123600,897
2017-04-18,5.979167,6.083333,5.979167,6.083333,5.927929,30000,898
2017-04-19,6.163333,6.2375,6.163333,6.186667,6.028624,55200,899
2017-04-20,6.245,6.331667,6.216667,6.326667,6.165047,66000,900
2017-04-21,6.31,6.314167,6.239167,6.295833,6.135001,30000,901
2017-04-24,6.499167,6.501667,6.424167,6.48,6.314462,56400,902
2017-04-25,6.541667,6.593333,6.520833,6.590833,6.422464,73200,903
2017-04-26,6.583333,6.5875,6.516667,6.516667,6.350194,80400,904
2017-04-27,6.596667,6.663333,6.596667,6.659167,6.489053,22800,905
2017-04-28,6.6325,6.6325,6.350833,6.415833,6.251936,141600,906
2017-05-01,6.430833,6.486667,6.3825,6.486667,6.32096,49200,907
2017-05-02,6.449167,6.4875,6.43,6.433333,6.268989,19200,908
2017-05-03,6.419167,6.556667,6.419167,6.536667,6.369683,75600,909
2017-05-04,6.52,6.5825,6.483333,6.516667,6.350194,37200,910
2017-05-05,6.575833,6.575833,6.513333,6.541667,6.374554,32400,911
2017-05-08,6.5825,6.5825,6.4975,6.538333,6.371306,15600,912
2017-05-09,6.6025,6.633333,6.6025,6.62,6.450888,15600,913
2017-05-10,6.693333,6.836667,6.693333,6.806667,6.632784,176400,914
