Date,Open,High,Low,Close,Adj Close,Volume
2020-10-23,20.395000,20.395000,19.870001,20.297501,20.239195,90400
2020-10-26,19.955000,20.107500,18.862499,19.342501,19.286938,512000
2020-10-27,19.625000,19.700001,19.059999,19.205000,19.149832,139200
2020-10-28,18.424999,18.590000,17.815001,17.855000,17.803711,255200
2020-10-29,17.897499,19.090000,17.897499,18.629999,18.576483,459600
2020-10-30,18.192499,18.497499,17.517500,18.070000,18.018093,283200
2020-11-02,18.400000,18.565001,17.832500,18.155001,18.102850,255200
2020-11-03,18.477501,19.020000,18.417500,18.830000,18.775909,91200
2020-11-04,19.647499,20.377501,19.299999,20.225000,20.166901,238400
2020-11-05,21.382500,22.032499,21.382500,22.014999,21.951759,196800
2020-11-06,22.082500,22.882500,21.665001,22.757500,22.692127,1171600
2020-11-09,23.860001,24.000000,21.850000,21.865000,21.802191,592000
2020-11-10,21.887501,21.887501,20.264999,20.410000,20.351370,634400
2020-11-11,21.155001,21.882500,21.037500,21.827499,21.764797,289600
2020-11-12,21.877501,22.040001,21.125000,21.355000,21.293655,298800
2020-11-13,21.750000,22.062500,21.340000,21.615000,21.552910,189600
2020-11-16,21.950001,22.594999,21.825001,22.592501,22.527603,340000
2020-11-17,22.510000,22.510000,21.947500,22.275000,22.211014,221200
2020-11-18,22.342501,22.637501,21.972500,21.972500,21.909382,262400
2020-11-19,21.879999,22.615000,21.594999,22.605000,22.540066,285600
2020-11-20,22.602501,22.837500,22.222500,22.252501,22.188580,154800
2020-11-23,22.535000,23.014999,22.282499,22.735001,22.669693,149600
2020-11-24,23.010000,23.055000,22.317499,22.997499,22.931437,176400
2020-11-25,23.075001,23.352501,22.850000,23.012501,22.946396,95200
2020-11-27,23.315001,23.807501,23.315001,23.442499,23.375158,89600
2020-11-30,23.500000,24.225000,23.057501,24.225000,24.155411,242000
2020-12-01,24.540001,25.020000,24.347500,24.767500,24.696354,235200
2020-12-02,24.732500,25.247499,24.570000,25.025000,24.953114,263600
2020-12-03,25.334999,25.500000,24.962500,25.037500,24.965578,212400
2020-12-04,25.277500,26.302500,25.180000,26.302500,26.226944,231600
2020-12-07,26.469999,26.469999,26.000000,26.275000,26.199524,162000
2020-12-08,26.275000,26.602501,25.950001,26.385000,26.309206,198400
2020-12-09,26.240000,26.549999,24.682501,24.982500,24.910736,233200
2020-12-10,24.602501,25.350000,24.495001,24.965000,24.893286,154800
2020-12-11,24.627501,24.782499,23.932501,24.547501,24.476986,314000
2020-12-14,24.842501,25.507500,24.842501,25.207500,25.135088,160800
2020-12-15,25.735001,25.950001,25.465000,25.879999,25.805656,190400
2020-12-16,25.995001,26.049999,25.500000,25.870001,25.795687,151600
2020-12-17,26.250000,26.250000,25.637501,25.932501,25.858007,120000
2020-12-18,26.000000,26.000000,25.174999,25.547501,25.474113,166000
2020-12-21,24.879999,25.230000,24.297501,25.200001,25.127611,222400
2020-12-22,25.272499,25.272499,24.732500,25.125000,25.052826,201600
2020-12-23,25.167500,25.232500,24.697500,24.697500,24.632681,138800
2020-12-24,24.805000,25.080000,24.747499,24.967501,24.901974,118000
2020-12-28,25.514999,25.542500,24.850000,24.897499,24.832155,114000
2020-12-29,25.070000,25.075001,24.287500,24.872499,24.807220,205600
2020-12-30,25.032499,25.750000,25.032499,25.615000,25.547773,136800
2020-12-31,25.610001,25.945000,25.322500,25.857500,25.789637,191600
2021-01-04,26.112499,27.250000,25.275000,25.542500,25.475464,516000
2021-01-05,25.565001,26.590000,25.557501,26.587500,26.517721,181200
2021-01-06,26.025000,27.217501,25.992500,26.230000,26.161160,234400
2021-01-07,26.902500,28.372499,26.902500,28.232500,28.158403,390000
2021-01-08,29.434999,29.434999,27.655001,28.202499,28.128481,248800
2021-01-11,27.760000,29.342501,27.760000,28.787500,28.711946,193200
2021-01-12,29.087500,29.645000,28.582500,29.132500,29.056042,292400
2021-01-13,29.605000,29.754999,29.097500,29.382500,29.305386,124000
2021-01-14,29.940001,30.775000,29.940001,30.225000,30.145674,249200
2021-01-15,30.342501,30.342501,28.655001,28.764999,28.689505,435600
2021-01-19,29.452499,30.504999,29.452499,30.465000,30.385044,244800
2021-01-20,31.059999,31.270000,30.342501,30.535000,30.454861,325200
2021-01-21,31.135000,32.012501,30.385000,31.732500,31.649218,217600
2021-01-22,31.205000,31.365000,30.502501,30.532499,30.452366,138400
2021-01-25,31.132500,31.132500,29.337500,30.475000,30.395018,260800
2021-01-26,30.617500,30.617500,29.575001,29.632500,29.554729,351600
2021-01-27,28.580000,28.692499,26.360001,26.844999,26.774544,272400
2021-01-28,27.582500,28.545000,27.334999,27.687500,27.614834,184000
2021-01-29,27.834999,28.290001,26.750000,26.912500,26.841867,250400
2021-02-01,27.709999,28.947500,27.500000,28.760000,28.684519,117200
2021-02-02,29.652500,29.882500,29.000000,29.825001,29.746725,162000
2021-02-03,30.097500,30.162500,28.754999,28.775000,28.699480,134400
2021-02-04,28.552500,29.132500,28.167500,29.132500,29.056042,94800
2021-02-05,29.540001,29.540001,28.612499,28.650000,28.574808,76000
2021-02-08,28.850000,30.547501,28.850000,30.547501,30.467329,205200
2021-02-09,30.405001,30.764999,30.240000,30.282499,30.203022,211600
2021-02-10,30.872499,31.264999,29.822500,30.594999,30.514702,177600
2021-02-11,31.122499,32.500000,31.075001,32.487499,32.402237,200800
2021-02-12,32.182499,33.375000,31.917500,33.150002,33.063000,152400
2021-02-16,34.000000,34.062500,33.224998,33.647499,33.559193,453200
2021-02-17,32.912498,33.040001,31.597500,32.472500,32.387276,210800
2021-02-18,31.692499,32.027500,31.049999,31.840000,31.756435,242400
2021-02-19,32.622501,33.567501,32.622501,33.132500,33.045544,227600
2021-02-22,32.342499,32.632500,30.467501,30.617500,30.537144,338800
2021-02-23,30.000000,30.617500,27.775000,30.257500,30.178089,567200
2021-02-24,29.815001,32.177502,29.280001,32.177502,32.093052,308800
2021-02-25,31.477501,31.817499,28.252501,28.549999,28.475069,426800
2021-02-26,29.295000,30.254999,28.352501,29.752501,29.674416,319200
2021-03-01,30.735001,31.465000,30.170000,31.465000,31.382420,128400
2021-03-02,31.600000,31.600000,29.620001,29.655001,29.577171,196800
2021-03-03,29.625000,29.637501,27.672501,27.707500,27.634781,231200
2021-03-04,27.500000,27.934999,24.615000,25.330000,25.263521,902000
2021-03-05,26.250000,26.750000,23.992500,26.597500,26.527695,343200
2021-03-08,26.497499,26.717501,23.872499,23.922501,23.859716,334000
2021-03-09,25.334999,27.155001,25.334999,26.827499,26.757090,239600
2021-03-10,27.677500,27.870001,26.125000,26.125000,26.056435,128000
2021-03-11,27.365000,28.267500,27.207500,28.042500,27.968903,228800
2021-03-12,27.187500,27.597500,26.750000,27.527500,27.455254,135200
2021-03-15,27.879999,28.764999,27.500000,28.695000,28.619690,168800
2021-03-16,29.235001,30.290001,29.080000,29.455000,29.377695,231600
2021-03-17,28.750000,30.527500,28.227501,30.037500,29.958666,195200
2021-03-18,29.264999,29.307501,27.542500,27.627501,27.554993,139600
2021-03-19,27.877501,28.725000,27.122499,28.309999,28.235699,180000
2021-03-22,28.920000,30.139999,28.790001,29.465000,29.387669,263600
2021-03-23,29.887501,29.887501,27.825001,28.030001,27.956436,199200
2021-03-24,29.187500,29.195000,27.084999,27.135000,27.063784,756800
2021-03-25,26.290001,27.315001,25.715000,27.150000,27.078745,449200
2021-03-26,27.020000,29.547501,26.832500,29.547501,29.469954,284000
2021-03-29,29.250000,29.280001,28.152500,28.762501,28.687014,111600
2021-03-30,28.187500,28.632500,27.852501,28.405001,28.330452,122000
2021-03-31,29.152500,30.322500,29.000000,29.967501,29.888851,556800
2021-04-01,31.192499,31.920000,31.002501,31.915001,31.831240,302400
